date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:07	40043/40043	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:36:53%20GMT	https://5d9844d886969.site123.me/	D:/Wasche%20project/Wasche/5d9844d886969.site123.me/index.html	(from )
17:08:07	92/92	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:36:53%20GMT	https://5d9844d886969.site123.me/robots.txt		(from )
17:08:10	494/494	---M-Z	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2012:00:36%20GMT	http://cdn-cms-s.f-static.com/manager/site123_website/files/logos/brand_files/favicon-blue.png?v=n5670	D:/Wasche%20project/Wasche/cdn-cms-s.f-static.com/manager/site123_website/files/logos/brand_files/favicon-blue625f.png	(from https://5d9844d886969.site123.me/)
17:08:11	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2005%20Oct%202019%2011:36:58%20GMT	http://cdn-cms-s.f-static.com/ready_uploads/pwaScreenLogo/pwaImage.png?width=152&height=152&resizeType=pwaIcon&w=&orderScreen=&websiteID=2630165&tranW=&v=n5670_11928280	D:/Wasche%20project/Wasche/cdn-cms-s.f-static.com/ready_uploads/pwaScreenLogo/pwaImage910e.png	(from https://5d9844d886969.site123.me/)
17:08:12	2775/2775	---M--	200	added ('OK')	image/png	etag:%2278b45f00270552ce24fce9b9bf1942ee%22	https://cdn-cms.f-static.com/ready_uploads/pwaScreenLogo/152_152_000000_ffffff_W-v22.png	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/ready_uploads/pwaScreenLogo/152_152_000000_ffffff_W-v22.png	(from https://5d9844d886969.site123.me/)
17:08:13	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2005%20Oct%202019%2011:37:00%20GMT	http://cdn-cms-s.f-static.com/ready_uploads/pwaScreenLogo/pwaImage.png?width=180&height=180&resizeType=pwaIcon&w=&orderScreen=&websiteID=2630165&tranW=&v=n5670_11928280	D:/Wasche%20project/Wasche/cdn-cms-s.f-static.com/ready_uploads/pwaScreenLogo/pwaImagee7a2.png	(from https://5d9844d886969.site123.me/)
17:08:14	2775/2775	---M--	200	added ('OK')	image/png	etag:%2278b45f00270552ce24fce9b9bf1942ee%22	https://cdn-cms.f-static.com/ready_uploads/pwaScreenLogo/180_180_000000_ffffff_W-v22.png	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/ready_uploads/pwaScreenLogo/180_180_000000_ffffff_W-v22.png	(from https://5d9844d886969.site123.me/)
17:08:14	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2005%20Oct%202019%2011:37:01%20GMT	http://cdn-cms-s.f-static.com/ready_uploads/pwaScreenLogo/pwaImage.png?width=167&height=167&resizeType=pwaIcon&w=&orderScreen=&websiteID=2630165&tranW=&v=n5670_11928280	D:/Wasche%20project/Wasche/cdn-cms-s.f-static.com/ready_uploads/pwaScreenLogo/pwaImagef524.png	(from https://5d9844d886969.site123.me/)
17:08:15	2775/2775	---M--	200	added ('OK')	image/png	etag:%2278b45f00270552ce24fce9b9bf1942ee%22	https://cdn-cms.f-static.com/ready_uploads/pwaScreenLogo/167_167_000000_ffffff_W-v22.png	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/ready_uploads/pwaScreenLogo/167_167_000000_ffffff_W-v22.png	(from https://5d9844d886969.site123.me/)
17:08:17	524922/524922	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2012:00:44%20GMT	http://cdn-cms-s.f-static.com/versions/2/css/minimize.css?v=n5670	D:/Wasche%20project/Wasche/cdn-cms-s.f-static.com/versions/2/css/minimize625f.css	(from https://5d9844d886969.site123.me/)
17:08:18	98161/98161	---MCZ	200	added ('OK')	text/css	date:Sat,%2005%20Oct%202019%2011:37:03%20GMT	http://cdn-cms-s.f-static.com/versions/2/css/websiteCSS.css?w=&orderScreen=&websiteID=2630165&onlyContent=&tranW=&v=n5670_11928280	D:/Wasche%20project/Wasche/cdn-cms-s.f-static.com/versions/2/css/websiteCSS23ab.css	(from https://5d9844d886969.site123.me/)
17:08:18	4615/4615	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Sep%202019%2012:00:35%20GMT	http://cdn-cms-s.f-static.com/files/frameworks/cookieconsent-master/build/cookieconsent.min.js?v=n5670	D:/Wasche%20project/Wasche/cdn-cms-s.f-static.com/files/frameworks/cookieconsent-master/build/cookieconsent.min625f.js	(from https://5d9844d886969.site123.me/)
17:08:19	27716/27716	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:37:05%20GMT	https://5d9844d886969.site123.me/services	D:/Wasche%20project/Wasche/5d9844d886969.site123.me/services.html	(from https://5d9844d886969.site123.me/)
17:08:19	27185/27185	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:37:06%20GMT	https://5d9844d886969.site123.me/about	D:/Wasche%20project/Wasche/5d9844d886969.site123.me/about.html	(from https://5d9844d886969.site123.me/)
17:08:20	28077/28077	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:37:07%20GMT	https://5d9844d886969.site123.me/contact	D:/Wasche%20project/Wasche/5d9844d886969.site123.me/contact.html	(from https://5d9844d886969.site123.me/)
17:08:21	29129/29129	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:37:08%20GMT	https://5d9844d886969.site123.me/tracker	D:/Wasche%20project/Wasche/5d9844d886969.site123.me/tracker.html	(from https://5d9844d886969.site123.me/)
17:08:22	27102/27102	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:37:08%20GMT	https://5d9844d886969.site123.me/services/washing	D:/Wasche%20project/Wasche/5d9844d886969.site123.me/services/washing.html	(from https://5d9844d886969.site123.me/)
17:08:23	20527/20527	---M--	200	added ('OK')	image/jpeg	etag:%2234ce56f5298d8cc0593a41a4ce073c21%22	https://cdn-cms.f-static.com/uploads/2630165/400_crop_5d986952639a6_5d98684d75832.jpg	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/uploads/2630165/400_crop_5d986952639a6_5d98684d75832.jpg	(from https://5d9844d886969.site123.me/)
17:08:24	27026/27026	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:37:10%20GMT	https://5d9844d886969.site123.me/services/ironing	D:/Wasche%20project/Wasche/5d9844d886969.site123.me/services/ironing.html	(from https://5d9844d886969.site123.me/)
17:08:24	155702/155702	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:37:10%20GMT	https://5d9844d886969.site123.me/?clientZone=1	D:/Wasche%20project/Wasche/5d9844d886969.site123.me/index4cd7.html	(from https://5d9844d886969.site123.me/)
17:08:25	20449/20449	---M--	200	added ('OK')	image/jpeg	etag:%222b263f087addf2ba6c7fcdc115972fc7%22	https://cdn-cms.f-static.com/uploads/2630165/400_crop_5d98692dc1af0_5d98688cb9dc8.jpg	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/uploads/2630165/400_crop_5d98692dc1af0_5d98688cb9dc8.jpg	(from https://5d9844d886969.site123.me/)
17:08:25	27100/27100	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:37:12%20GMT	https://5d9844d886969.site123.me/services/delivery	D:/Wasche%20project/Wasche/5d9844d886969.site123.me/services/delivery.html	(from https://5d9844d886969.site123.me/)
17:08:26	15792/15792	---M--	200	added ('OK')	image/jpeg	etag:%229a76520922743af393aae61518824fa0%22	https://cdn-cms.f-static.com/uploads/2630165/400_crop_5d98690d1693c_5d9868cf6efd0.jpg	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/uploads/2630165/400_crop_5d98690d1693c_5d9868cf6efd0.jpg	(from https://5d9844d886969.site123.me/)
17:08:31	92429/92429	---M--	200	added ('OK')	image/jpeg	etag:%22285f1826dd9613bea592434681cf350b%22	https://cdn-cms.f-static.com/uploads/2630165/800_5d0a171177656.jpg	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/uploads/2630165/800_5d0a171177656.jpg	(from https://5d9844d886969.site123.me/)
17:08:31	18799/18799	---M--	200	added ('OK')	image/jpeg	etag:%22637e73b98fbbe34989d3bdbb87e49b1a%22	http://cdn-cms.f-static.com/uploads/2031/400_5a16a9848fdd0.jpg	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/uploads/2031/400_5a16a9848fdd0.jpg	(from https://5d9844d886969.site123.me/)
17:08:32	18406/18406	---M--	200	added ('OK')	image/jpeg	etag:%22764a3728a46bf747a26e0b4ad0b699af%22	http://cdn-cms.f-static.com/uploads/2031/400_5a15adf4c6469.jpg	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/uploads/2031/400_5a15adf4c6469.jpg	(from https://5d9844d886969.site123.me/)
17:08:33	22823/22823	---M--	200	added ('OK')	image/jpeg	etag:%2221fd5729743bfdaed5dc39d5109fdc72%22	http://cdn-cms.f-static.com/uploads/2031/400_5a15a9b2d0271.jpg	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/uploads/2031/400_5a15a9b2d0271.jpg	(from https://5d9844d886969.site123.me/)
17:08:34	13878/13878	---M--	200	added ('OK')	image/jpeg	etag:%22a6ea7f94202ac1dfe88ddb61ede1b110%22	http://cdn-cms.f-static.com/uploads/2031/400_5a2817ee48957.jpg	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/uploads/2031/400_5a2817ee48957.jpg	(from https://5d9844d886969.site123.me/)
17:08:34	20037/20037	---M--	200	added ('OK')	image/jpeg	etag:%225b242c102df78d9073e4b8226f1c80bf%22	http://cdn-cms.f-static.com/uploads/2031/400_5a2816abd9044.jpg	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/uploads/2031/400_5a2816abd9044.jpg	(from https://5d9844d886969.site123.me/)
17:08:34	17000/17000	---M--	200	added ('OK')	image/jpeg	etag:%2217ed94722c704777c0c8981d49618612%22	http://cdn-cms.f-static.com/uploads/2031/400_5a15a987cc8c1.jpg	D:/Wasche%20project/Wasche/cdn-cms.f-static.com/uploads/2031/400_5a15a987cc8c1.jpg	(from https://5d9844d886969.site123.me/)
17:08:35	25773/25773	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202019%2011:37:22%20GMT	https://5d9844d886969.site123.me/terms	D:/Wasche%20project/Wasche/5d9844d886969.site123.me/terms.html	(from https://5d9844d886969.site123.me/)
